0, 0, , , , 1000000, , , , 
1, 1, 2, , , 1000001, 1000018, , , 
2, 2, 3, 4, , 1000002, 1000019, 1000036, , 
3, 3, 4, 5, 6, 1000003, 1000020, 1000037, 1000054, 
4, 4, 5, 6, 7, 1000004, 1000021, 1000038, 1000055, 
5, 5, 6, 7, 8, 1000005, 1000022, 1000039, 1000056, 
6, 14, 7, 8, 9, 1000006, 1000023, 1000040, 1000057, 
7, 15, 16, 9, 10, 1000007, 1000024, 1000041, 1000058, 
8, 16, 17, 18, 11, 1000008, 1000025, 1000042, 1000059, 
9, 17, 18, 19, 20, 1000009, 1000026, 1000043, 1000060, 
10, 18, 19, 20, 21, 1000010, 1000027, 1000044, 1000061, 
11, 19, 20, 21, 22, 1000011, 1000028, 1000045, 1000062, 
12, 28, 21, 22, 23, 1000012, 1000029, 1000046, 1000063, 
13, 29, 30, 23, 24, 1000013, 1000030, 1000047, 1000064, 
14, 30, 31, 32, 25, 1000014, 1000031, 1000048, 1000065, 
15, 31, 32, 33, 34, 1000015, 1000032, 1000049, 1000066, 
16, 32, 33, 34, 35, 1000016, 1000033, 1000050, 1000067, 
17, 33, 34, 35, 36, 1000017, 1000034, 1000051, 1000068, 
18, 8, 35, 36, 37, 1000000, 1000035, 1000052, 1000069, 
19, 9, 14, 37, 38, 1000001, 1000018, 1000053, 1000070, 
20, 10, 15, 16, 39, 1000002, 1000019, 1000036, 1000071, 
21, 11, 16, 17, 18, 1000003, 1000020, 1000037, 1000054, 
22, 12, 17, 18, 19, 1000004, 1000021, 1000038, 1000055, 
23, 13, 18, 19, 20, 1000005, 1000022, 1000039, 1000056, 
24, 22, 19, 20, 21, 1000006, 1000023, 1000040, 1000057, 
25, 23, 28, 21, 22, 1000007, 1000024, 1000041, 1000058, 
26, 24, 29, 30, 23, 1000008, 1000025, 1000042, 1000059, 
27, 25, 30, 31, 32, 1000009, 1000026, 1000043, 1000060, 
28, 26, 31, 32, 33, 1000010, 1000027, 1000044, 1000061, 
29, 27, 32, 33, 34, 1000011, 1000028, 1000045, 1000062, 
30, 36, 33, 34, 35, 1000012, 1000029, 1000046, 1000063, 
31, 37, 42, 35, 36, 1000013, 1000030, 1000047, 1000064, 
32, 38, 43, 44, 37, 1000014, 1000031, 1000048, 1000065, 
33, 39, 44, 45, 46, 1000015, 1000032, 1000049, 1000066, 
34, 40, 45, 46, 47, 1000016, 1000033, 1000050, 1000067, 
35, 41, 46, 47, 48, 1000017, 1000034, 1000051, 1000068, 
36, 20, 47, 48, 49, 1000000, 1000035, 1000052, 1000069, 
37, 21, 22, 49, 50, 1000001, 1000018, 1000053, 1000070, 
38, 22, 23, 28, 51, 1000002, 1000019, 1000036, 1000071, 
39, 23, 24, 29, 30, 1000003, 1000020, 1000037, 1000054, 
40, 24, 25, 30, 31, 1000004, 1000021, 1000038, 1000055, 
41, 25, 26, 31, 32, 1000005, 1000022, 1000039, 1000056, 
42, 34, 27, 32, 33, 1000006, 1000023, 1000040, 1000057, 
43, 35, 36, 33, 34, 1000007, 1000024, 1000041, 1000058, 
44, 36, 37, 42, 35, 1000008, 1000025, 1000042, 1000059, 
45, 37, 38, 43, 44, 1000009, 1000026, 1000043, 1000060, 
46, 38, 39, 44, 45, 1000010, 1000027, 1000044, 1000061, 
47, 39, 40, 45, 46, 1000011, 1000028, 1000045, 1000062, 
48, 48, 41, 46, 47, 1000012, 1000029, 1000046, 1000063, 
49, 49, 50, 47, 48, 1000013, 1000030, 1000047, 1000064, 
50, 50, 51, 56, 49, 1000014, 1000031, 1000048, 1000065, 
51, 51, 52, 57, 58, 1000015, 1000032, 1000049, 1000066, 
52, 52, 53, 58, 59, 1000016, 1000033, 1000050, 1000067, 
53, 53, 54, 59, 60, 1000017, 1000034, 1000051, 1000068, 
54, 32, 55, 60, 61, 1000000, 1000035, 1000052, 1000069, 
55, 33, 34, 61, 62, 1000001, 1000018, 1000053, 1000070, 
56, 34, 35, 36, 63, 1000002, 1000019, 1000036, 1000071, 
57, 35, 36, 37, 42, 1000003, 1000020, 1000037, 1000054, 
58, 36, 37, 38, 43, 1000004, 1000021, 1000038, 1000055, 
59, 37, 38, 39, 44, 1000005, 1000022, 1000039, 1000056, 
60, 46, 39, 40, 45, 1000006, 1000023, 1000040, 1000057, 
61, 47, 48, 41, 46, 1000007, 1000024, 1000041, 1000058, 
62, 48, 49, 50, 47, 1000008, 1000025, 1000042, 1000059, 
63, 49, 50, 51, 56, 1000009, 1000026, 1000043, 1000060, 
64, 50, 51, 52, 57, 1000010, 1000027, 1000044, 1000061, 
65, 51, 52, 53, 58, 1000011, 1000028, 1000045, 1000062, 
66, 60, 53, 54, 59, 1000012, 1000029, 1000046, 1000063, 
67, 61, 62, 55, 60, 1000013, 1000030, 1000047, 1000064, 
68, 62, 63, 64, 61, 1000014, 1000031, 1000048, 1000065, 
69, 63, 64, 65, 70, 1000015, 1000032, 1000049, 1000066, 
70, 64, 65, 66, 71, 1000016, 1000033, 1000050, 1000067, 
71, 65, 66, 67, 72, 1000017, 1000034, 1000051, 1000068, 
72, 44, 67, 68, 73, 1000000, 1000035, 1000052, 1000069, 
73, 45, 46, 69, 74, 1000001, 1000018, 1000053, 1000070, 
74, 46, 47, 48, 75, 1000002, 1000019, 1000036, 1000071, 
75, 47, 48, 49, 50, 1000003, 1000020, 1000037, 1000054, 
76, 48, 49, 50, 51, 1000004, 1000021, 1000038, 1000055, 
77, 49, 50, 51, 52, 1000005, 1000022, 1000039, 1000056, 
78, 58, 51, 52, 53, 1000006, 1000023, 1000040, 1000057, 
79, 59, 60, 53, 54, 1000007, 1000024, 1000041, 1000058, 
80, 60, 61, 62, 55, 1000008, 1000025, 1000042, 1000059, 
81, 61, 62, 63, 64, 1000009, 1000026, 1000043, 1000060, 
82, 62, 63, 64, 65, 1000010, 1000027, 1000044, 1000061, 
83, 63, 64, 65, 66, 1000011, 1000028, 1000045, 1000062, 
84, 72, 65, 66, 67, 1000012, 1000029, 1000046, 1000063, 
85, 73, 74, 67, 68, 1000013, 1000030, 1000047, 1000064, 
86, 74, 75, 76, 69, 1000014, 1000031, 1000048, 1000065, 
87, 75, 76, 77, 78, 1000015, 1000032, 1000049, 1000066, 
88, 76, 77, 78, 79, 1000016, 1000033, 1000050, 1000067, 
89, 77, 78, 79, 80, 1000017, 1000034, 1000051, 1000068, 
90, 56, 79, 80, 81, 1000000, 1000035, 1000052, 1000069, 
91, 57, 58, 81, 82, 1000001, 1000018, 1000053, 1000070, 
92, 58, 59, 60, 83, 1000002, 1000019, 1000036, 1000071, 
93, 59, 60, 61, 62, 1000003, 1000020, 1000037, 1000054, 
94, 60, 61, 62, 63, 1000004, 1000021, 1000038, 1000055, 
95, 61, 62, 63, 64, 1000005, 1000022, 1000039, 1000056, 
96, 70, 63, 64, 65, 1000006, 1000023, 1000040, 1000057, 
97, 71, 72, 65, 66, 1000007, 1000024, 1000041, 1000058, 
98, 72, 73, 74, 67, 1000008, 1000025, 1000042, 1000059, 
99, 73, 74, 75, 76, 1000009, 1000026, 1000043, 1000060, 
100, 74, 75, 76, 77, 1000010, 1000027, 1000044, 1000061, 
101, 75, 76, 77, 78, 1000011, 1000028, 1000045, 1000062, 
102, 84, 77, 78, 79, 1000012, 1000029, 1000046, 1000063, 
103, 85, 86, 79, 80, 1000013, 1000030, 1000047, 1000064, 
104, 86, 87, 88, 81, 1000014, 1000031, 1000048, 1000065, 
105, 87, 88, 89, 90, 1000015, 1000032, 1000049, 1000066, 
106, 88, 89, 90, 91, 1000016, 1000033, 1000050, 1000067, 
107, 89, 90, 91, 92, 1000017, 1000034, 1000051, 1000068, 
108, 64, 91, 92, 93, 1000000, 1000035, 1000052, 1000069, 
109, 65, , 93, 94, 1000001, 1000018, 1000053, 1000070, 
110, 66, , , 95, 1000002, 1000019, 1000036, 1000071, 
111, 67, , , , 1000003, 1000020, 1000037, 1000054, 
112, 68, , , , 1000004, 1000021, 1000038, 1000055, 
113, 69, , , , 1000005, 1000022, 1000039, 1000056, 
114, 78, , , , 1000006, 1000023, 1000040, 1000057, 
115, 79, , , , 1000007, 1000024, 1000041, 1000058, 
116, 80, , , , 1000008, 1000025, 1000042, 1000059, 
117, 81, , , , 1000009, 1000026, 1000043, 1000060, 
118, 82, , , , 1000010, 1000027, 1000044, 1000061, 
119, 83, , , , 1000011, 1000028, 1000045, 1000062, 
120, 92, , , , 1000012, 1000029, 1000046, 1000063, 
121, 93, , , , 1000013, 1000030, 1000047, 1000064, 
122, 94, , , , 1000014, 1000031, 1000048, 1000065, 
123, 95, , , , 1000015, 1000032, 1000049, 1000066, 
124, 96, , , , 1000016, 1000033, 1000050, 1000067, 
125, 97, , , , 1000017, 1000034, 1000051, 1000068, 
126, 6, , , , 1000072, 1000035, 1000052, 1000069, 
127, , , , , , , , , 
128, , , , , , , , , 
129, , , , , , , , , 
130, , , , , , , , , 
131, , , , , , , , , 
132, , , , , , , , , 
133, , , , , , , , , 
134, , , , , , , , , 
135, , , , , , , , , 
136, , , , , , , , , 
137, , , , , , , , , 
138, , , , , , , , , 
139, , , , , , , , , 
140, , , , , , , , , 
141, , , , , , , , , 
142, , , , , , , , , 
143, , , , , , , , , 
144, , , , , , , , , 
145, , , , , , , , , 
146, , , , , , , , , 
147, , , , , , , , , 
148, , , , , , , , , 
149, , , , , , , , , 
150, , , , , , , , , 
151, , , , , , , , , 
152, , , , , , , , , 
153, , , , , , , , , 
154, , , , , , , , , 
155, , , , , , , , , 
156, , , , , , , , , 
157, , , , , , , , , 
158, , , , , , , , , 
159, , , , , , , , , 
160, , , , , , , , , 
161, , , , , , , , , 
162, , , , , , , , , 
163, , , , , , , , , 
164, , , , , , , , , 
165, , , , , , , , , 
166, , , , , , , , , 
167, , , , , , , , , 
168, , , , , , , , , 
169, , , , , , , , , 
170, , , , , , , , , 
171, , , , , , , , , 
172, , , , , , , , , 
173, , , , , , , , , 
174, , , , , , , , , 
175, , , , , , , , , 
176, , , , , , , , , 
177, , , , , , , , , 
178, , , , , , , , , 
179, , , , , , , , , 
180, , , , , , , , , 
181, , , , , , , , , 
182, , , , , , , , , 
183, , , , , , , , , 
184, , , , , , , , , 
185, , , , , , , , , 
186, , , , , , , , , 
187, , , , , , , , , 
188, , , , , , , , , 
189, , , , , , , , , 
190, , , , , , , , , 
191, , , , , , , , , 
192, , , , , , , , , 
193, , , , , , , , , 
194, , , , , , , , , 
195, , , , , , , , , 
196, , , , , , , , , 
197, , , , , , , , , 
198, , , , , , , , , 
199, , , , , , , , , 
200, , , , , , , , , 
201, , , , , , , , , 
202, , , , , , , , , 
203, , , , , , , , , 
204, , , , , , , , , 
205, , , , , , , , , 
206, , , , , , , , , 
207, , , , , , , , , 
208, , , , , , , , , 
209, , , , , , , , , 
210, , , , , , , , , 
211, , , , , , , , , 
212, , , , , , , , , 
213, , , , , , , , , 
214, , , , , , , , , 
215, , , , , , , , , 
216, , , , , , , , , 
217, , , , , , , , , 
218, , , , , , , , , 
219, , , , , , , , , 
220, , , , , , , , , 
221, , , , , , , , , 
222, , , , , , , , , 
223, , , , , , , , , 
224, , , , , , , , , 
225, , , , , , , , , 
226, , , , , , , , , 
227, , , , , , , , , 
228, , , , , , , , , 
229, , , , , , , , , 
230, , , , , , , , , 
231, , , , , , , , , 
232, , , , , , , , , 
233, , , , , , , , , 
234, , , , , , , , , 
235, , , , , , , , , 
236, , , , , , , , , 
237, , , , , , , , , 
238, , , , , , , , , 
239, , , , , , , , , 
240, , , , , , , , , 
241, , , , , , , , , 
242, , , , , , , , , 
243, , , , , , , , , 
244, , , , , , , , , 
245, , , , , , , , , 
246, , , , , , , , , 
247, , , , , , , , , 
248, , , , , , , , , 
249, , , , , , , , , 
250, , , , , , , , , 
251, , , , , , , , , 
252, , , , , , , , , 
253, , , , , , , , , 
254, , , , , , , , , 
255, , , , , , , , , 
256, , , , , , , , , 
257, , , , , , , , , 
258, , , , , , , , , 
259, , , , , , , , , 
260, , , , , , , , , 
261, , , , , , , , , 
262, , , , , , , , , 
263, , , , , , , , , 
264, , , , , , , , , 
265, , , , , , , , , 
266, , , , , , , , , 
267, , , , , , , , , 
268, , , , , , , , , 
269, , , , , , , , , 
270, , , , , , , , , 
271, , , , , , , , , 
272, , , , , , , , , 
273, , , , , , , , , 
274, , , , , , , , , 
275, , , , , , , , , 
276, , , , , , , , , 
277, , , , , , , , , 
278, , , , , , , , , 
279, , , , , , , , , 
280, , , , , , , , , 
281, , , , , , , , , 
282, , , , , , , , , 
283, , , , , , , , , 
284, , , , , , , , , 
285, , , , , , , , , 
286, , , , , , , , , 
287, , , , , , , , , 
288, , , , , , , , , 
289, , , , , , , , , 
290, , , , , , , , , 
291, , , , , , , , , 
292, , , , , , , , , 
293, , , , , , , , , 
294, , , , , , , , , 
295, , , , , , , , , 
296, , , , , , , , , 
297, , , , , , , , , 
298, , , , , , , , , 
299, , , , , , , , , 
